job_num,education_num,default_num,poutcome_num,duration,campaign,euribor3m,y_num
4.0,4.0,0.0,0.0,258.0,2.0,4.855,0.0
5.0,1.0,0.0,0.0,323.0,1.0,0.74,0.0
3.0,1.0,0.0,0.0,276.0,3.0,4.962,0.0
2.0,1.0,1.0,0.0,1391.0,2.0,1.327,0.0
4.0,4.0,1.0,0.0,273.0,1.0,4.965,0.0
1.0,1.0,0.0,0.0,101.0,5.0,4.959,0.0
4.0,4.0,0.0,0.0,261.0,3.0,4.961,0.0
2.0,1.0,0.0,0.0,537.0,5.0,4.865,0.0
7.0,4.0,0.0,0.0,67.0,1.0,4.857,0.0
1.0,1.0,0.0,0.0,691.0,1.0,1.405,0.0
5.0,4.0,0.0,0.0,695.0,1.0,4.962,0.0
1.0,1.0,0.0,0.0,44.0,1.0,4.859,0.0
2.0,6.0,0.0,0.0,110.0,4.0,4.858,
3.0,1.0,0.0,0.0,251.0,2.0,4.962,0.0
1.0,1.0,0.0,0.0,38.0,2.0,1.313,0.0
2.0,6.0,0.0,0.0,214.0,1.0,0.644,0.0
3.0,3.0,0.0,0.0,110.0,1.0,4.961,0.0
1.0,1.0,0.0,0.0,472.0,2.0,1.41,0.0
8.0,1.0,0.0,0.0,238.0,6.0,4.961,0.0
2.0,6.0,0.0,0.0,211.0,1.0,4.076,0.0
3.0,4.0,0.0,0.0,154.0,1.0,1.498,0.0
2.0,6.0,0.0,0.0,442.0,4.0,4.076,0.0
5.0,3.0,0.0,0.0,104.0,2.0,0.803,0.0
3.0,0.0,0.0,0.0,162.0,1.0,4.96,0.0
3.0,3.0,0.0,0.0,232.0,1.0,4.961,
3.0,1.0,0.0,0.0,217.0,1.0,1.327,0.0
4.0,6.0,0.0,1.0,456.0,1.0,1.405,0.0
3.0,0.0,0.0,0.0,487.0,4.0,4.961,
4.0,1.0,0.0,0.0,397.0,1.0,1.268,0.0
5.0,0.0,0.0,0.0,157.0,3.0,4.865,0.0
0.0,4.0,0.0,0.0,335.0,1.0,0.64,
3.0,2.0,0.0,0.0,543.0,3.0,4.855,0.0
2.0,6.0,1.0,0.0,344.0,2.0,4.86,0.0
3.0,3.0,1.0,0.0,88.0,2.0,4.857,0.0
10.0,6.0,0.0,0.0,75.0,1.0,4.866,
2.0,6.0,0.0,0.0,282.0,2.0,4.961,0.0
5.0,0.0,0.0,2.0,137.0,1.0,0.869,0.0
11.0,3.0,0.0,0.0,133.0,1.0,1.334,
10.0,1.0,0.0,0.0,85.0,5.0,4.961,0.0
2.0,6.0,0.0,0.0,718.0,1.0,4.021,0.0
2.0,1.0,0.0,0.0,25.0,1.0,4.963,0.0
2.0,6.0,0.0,0.0,151.0,5.0,1.266,
3.0,3.0,0.0,1.0,57.0,2.0,1.25,0.0
2.0,6.0,0.0,0.0,204.0,2.0,4.856,0.0
2.0,1.0,0.0,0.0,417.0,3.0,4.962,
7.0,6.0,0.0,0.0,152.0,3.0,4.858,0.0
6.0,6.0,0.0,0.0,122.0,1.0,4.964,0.0
6.0,6.0,0.0,1.0,676.0,2.0,0.737,0.0
1.0,1.0,0.0,0.0,614.0,2.0,4.856,0.0
6.0,6.0,0.0,1.0,210.0,1.0,0.88,0.0
2.0,6.0,0.0,2.0,582.0,1.0,1.259,0.0
2.0,1.0,0.0,0.0,712.0,2.0,4.963,0.0
6.0,6.0,0.0,0.0,692.0,1.0,1.415,0.0
4.0,4.0,0.0,0.0,277.0,1.0,1.405,
3.0,0.0,1.0,0.0,588.0,3.0,4.859,0.0
0.0,2.0,0.0,1.0,223.0,4.0,1.291,0.0
